
[1;33mjava 17.0.8-tem is already installed.[0m

[1;32mUsing java version 17.0.8-tem in this shell.[0m
Validating WDL...
Success!
2026-02-13 16:07:28 main INFO  - Running with database db.url = jdbc:hsqldb:file:local_cromwell_run.db;shutdown=false;hsqldb.default_table_type=cached;hsqldb.tx=mvcc;hsqldb.large_data=true;hsqldb.lob_compressed=true;hsqldb.script_format=3;hsqldb.result_max_memory_rows=20000
2026-02-13 16:07:29 db-1 INFO  - checkpointClose start
2026-02-13 16:07:29 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:29 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:29 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:29 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:29 db-1 INFO  - checkpointClose end
2026-02-13 16:07:29 db-1 INFO  - Checkpoint end - txts: 100
2026-02-13 16:07:31 db-1 INFO  - Checkpoint start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:31 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:31 db-1 INFO  - checkpointClose end
2026-02-13 16:07:31 db-1 INFO  - Checkpoint end - txts: 114
2026-02-13 16:07:31 db-1 INFO  - Checkpoint start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:31 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:31 db-1 INFO  - checkpointClose end
2026-02-13 16:07:31 db-1 INFO  - Checkpoint end - txts: 124
2026-02-13 16:07:31 db-1 INFO  - Checkpoint start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose start
2026-02-13 16:07:31 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:31 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:31 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:31 db-1 INFO  - checkpointClose end
2026-02-13 16:07:31 db-1 INFO  - Checkpoint end - txts: 187
2026-02-13 16:07:32 db-1 INFO  - Checkpoint start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:32 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:32 db-1 INFO  - checkpointClose end
2026-02-13 16:07:32 db-1 INFO  - Checkpoint end - txts: 2335
2026-02-13 16:07:32 db-1 INFO  - Checkpoint start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:32 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:32 db-1 INFO  - checkpointClose end
2026-02-13 16:07:32 db-1 INFO  - Checkpoint end - txts: 2357
2026-02-13 16:07:32 db-1 INFO  - Checkpoint start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:32 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:32 db-1 INFO  - checkpointClose end
2026-02-13 16:07:32 db-1 INFO  - Checkpoint end - txts: 2368
2026-02-13 16:07:32 db-1 INFO  - Checkpoint start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose synched
2026-02-13 16:07:32 db-1 INFO  - checkpointClose script done
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit start
2026-02-13 16:07:32 db-1 INFO  - dataFileCache commit end
2026-02-13 16:07:32 db-1 INFO  - checkpointClose end
2026-02-13 16:07:32 db-1 INFO  - Checkpoint end - txts: 2370
2026-02-13 16:07:32 db-1 INFO  - Checkpoint start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose start
2026-02-13 16:07:32 db-1 INFO  - checkpointClose synched
