2026-02-05 21:29:10 main INFO  - Running with database db.url = jdbc:hsqldb:file:local_cromwell_run.db;shutdown=false;hsqldb.default_table_type=cached;hsqldb.tx=mvcc;hsqldb.large_data=true;hsqldb.lob_compressed=true;hsqldb.script_format=3;hsqldb.result_max_memory_rows=20000
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2440
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2447
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2449
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2451
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2458
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2465
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2467
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2469
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2482
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2489
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2491
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2493
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2505
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
2026-02-05 21:29:14 db-1 INFO  - Checkpoint end - txts: 2512
2026-02-05 21:29:14 db-1 INFO  - Checkpoint start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose start
2026-02-05 21:29:14 db-1 INFO  - checkpointClose synched
2026-02-05 21:29:14 db-1 INFO  - checkpointClose script done
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit start
2026-02-05 21:29:14 db-1 INFO  - dataFileCache commit end
2026-02-05 21:29:14 db-1 INFO  - checkpointClose end
